Lead Number,Prospect ID,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,City,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity
642343,bf885bbb-c60f-4c99-a6cb-8bcd60d530ae,API,Olark Chat,No,No,0,0.0,0,0.0,Email Opened,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Mumbai,No,No,Email Opened
642333,a7b1d408-59df-4e07-a6ef-512c8d1d2721,API,Olark Chat,No,No,1,0.0,0,0.0,Email Opened,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Email Opened
642307,26bffe99-d65d-4b26-b26c-5ebd41daf74e,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Mumbai,No,No,SMS Sent
642303,f2e9807e-475b-49e9-b958-698c57484912,API,Google,No,No,1,4.0,1219,1.0,Email Opened,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Not Sure,No,No,Mumbai,No,No,Modified
642295,db9312a1-c65f-4a0c-a1e9-e82c65bb74b2,Landing Page Submission,Google,No,No,0,4.0,198,4.0,Email Opened,India,Supply Chain Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Thane & Outskirts,No,No,Email Opened
642278,97a50974-e726-49d3-bd55-6a1368bde820,Landing Page Submission,Google,No,No,0,3.0,1334,3.0,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Thane & Outskirts,No,No,Email Opened
642256,945a6d76-6f80-4305-afa6-7eacf79cc04a,Landing Page Submission,Direct Traffic,No,No,0,4.0,375,4.0,Email Opened,India,Marketing Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Other Metro Cities,No,Yes,Email Opened
642248,91e4fcd1-547f-45fd-9cd9-f679c1c27440,Lead Add Form,Welingak Website,No,No,1,0.0,0,0.0,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Other Cities of Maharashtra,No,No,Email Opened
642242,d5ca5847-b4ad-4026-a756-180e96a55b9f,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Not Sure,No,No,Mumbai,No,No,Modified
642228,da04f422-9364-47ff-b6d0-be997d3e01aa,Landing Page Submission,Google,No,No,0,12.0,1261,4.0,SMS Sent,India,IT Projects Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,Yes,Modified
642222,c6834e22-978b-45b6-9ff4-bcbb4202fc6f,API,Google,No,No,1,2.0,594,1.0,SMS Sent,India,IT Projects Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Mumbai,No,No,SMS Sent
642218,b0447dbc-b9be-4f35-a7b9-a6058af9fb4f,Landing Page Submission,Google,No,No,0,3.0,295,3.0,Email Opened,India,Business Administration,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Email Opened
642217,8cd87057-136c-4ac1-9cb1-7a86cba3bfbd,API,Google,No,No,0,3.0,271,3.0,Olark Chat Conversation,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Mumbai,No,No,Modified
642213,de62377a-b97b-413c-bbd0-fb3c74ce019c,API,Olark Chat,No,No,1,0.0,0,0.0,Email Opened,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Modified
642205,255296b5-8a0c-493f-92ac-01f7c0e9cc7d,Lead Add Form,Welingak Website,No,No,1,0.0,0,0.0,SMS Sent,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,SMS Sent
642204,85b71b01-6d01-4714-bbc8-b7cd43c206b7,Landing Page Submission,Google,No,No,1,5.0,1211,2.5,Email Opened,India,Marketing Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Other Cities of Maharashtra,No,No,Email Opened
642202,52333a00-cc48-48e8-a23e-f3f6126d01b6,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Mumbai,No,No,SMS Sent
642182,bca41b3f-5223-4f33-b592-71b55dfb4a43,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Mumbai,No,No,Modified
642180,b38d831b-e9a4-43b3-9e99-fdbb6fa88431,API,Google,No,No,0,3.0,1275,3.0,SMS Sent,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Modified
642177,843c0269-5eae-4f55-bcfd-a3a553640f75,Landing Page Submission,Google,No,No,1,4.0,1506,4.0,SMS Sent,India,Business Administration,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Other Cities of Maharashtra,No,No,SMS Sent
642169,c838cd76-fcb9-4f59-92cc-0dbe4cf732d7,API,Google,No,No,1,3.0,1021,3.0,Email Opened,India,Retail Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Mumbai,No,No,Email Opened
642165,c4bcfd09-2144-4c88-8fd3-df5012af9217,API,Google,Yes,No,0,2.0,342,2.0,SMS Sent,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Worst,No,No,Mumbai,No,No,Modified
642146,270c704d-6a49-405f-aa18-4fb619f47e04,API,Google,No,No,1,2.0,681,1.0,SMS Sent,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,SMS Sent
642145,659b321e-eeea-4728-ad64-607867ddb697,Landing Page Submission,Organic Search,No,No,1,3.0,1264,3.0,Converted to Lead,India,Human Resource Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Cities,No,Yes,Modified
642140,a2cacd48-6589-4e39-b190-b4e3610e4e74,API,Direct Traffic,No,No,0,5.0,949,1.0,Olark Chat Conversation,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Modified
642128,df2edf95-8acb-42df-a9ed-bd4a4679fe11,Landing Page Submission,Google,No,No,0,5.0,371,2.5,Form Submitted on Website,India,Finance Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Mumbai,No,No,Modified
642126,27f14623-814d-4662-b878-7663721f3b3f,API,Google,No,No,0,2.0,426,1.0,Email Opened,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Email Opened
642120,8bb6be2e-04ec-4ecb-bd12-cdc837fa1375,Landing Page Submission,Direct Traffic,No,No,0,3.0,491,3.0,Email Opened,India,Operations Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Other Metro Cities,No,Yes,Email Opened
642099,74dd7c9a-c363-481c-beb5-358d02c70ea7,Landing Page Submission,Direct Traffic,No,No,1,6.0,99,6.0,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Thane & Outskirts,No,Yes,Email Opened
642098,585b92f2-5754-49d9-8473-88b74fd86c33,Lead Add Form,Welingak Website,No,No,1,3.0,555,1.5,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Modified
642090,bea76eeb-0d4c-4ae2-ae68-83cb5516910e,API,Google,No,No,0,3.0,505,1.5,Email Opened,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Mumbai,No,No,Email Opened
642089,612f48fb-8987-47e7-957a-2b824ed3ab3e,API,Olark Chat,No,No,0,0.0,0,0.0,Email Opened,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,in touch with EINS,Not Sure,No,No,Mumbai,No,No,Email Opened
642088,69b98003-8dcb-40a1-864e-bae865a53461,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,India,Finance Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Thane & Outskirts,No,No,Email Opened
642081,b5de0fc9-c8f8-4362-bfb6-f0b9b374c3ac,API,Olark Chat,No,No,0,0.0,0,0.0,Email Opened,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Not Sure,No,No,Mumbai,No,No,Email Opened
642070,92a89963-caf1-4b62-a002-51c75eb6271c,API,Google,No,No,0,4.0,1732,4.0,Email Link Clicked,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Mumbai,No,No,Modified
642069,f1007120-187c-4f78-9bfd-251a9ec08acb,API,Olark Chat,No,No,1,0.0,0,0.0,SMS Sent,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,SMS Sent
642061,9958f720-0d02-4e53-acd3-c9feb1b95c0f,Landing Page Submission,Google,Yes,No,0,4.0,32,4.0,Email Bounced,India,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Thane & Outskirts,No,No,Modified
642056,eef7a072-f60c-4ba2-b892-dfddd2a5e646,Landing Page Submission,Google,No,No,1,11.0,1714,5.5,Email Opened,India,Finance Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Mumbai,No,No,Email Opened
642054,acdcb1ec-45fe-4d6b-bc6f-ae8927177554,API,Google,No,No,0,3.0,121,3.0,Email Opened,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Email Opened
642052,e3e25093-9bdd-4ce5-95ff-e8e868b918c9,Landing Page Submission,Google,No,No,0,3.0,251,3.0,SMS Sent,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Modified
642049,948edb0d-33f0-4464-8f5d-c450cfa70eb3,Landing Page Submission,Google,No,No,0,4.0,700,4.0,SMS Sent,India,Business Administration,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Thane & Outskirts,No,No,Modified
642046,02483b04-5fb9-4484-bb68-0fccdb237559,Landing Page Submission,Google,No,No,0,8.0,699,8.0,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Mumbai,No,No,Modified
642032,18dd123f-8f38-4606-a7c7-497b1e435da4,Landing Page Submission,Direct Traffic,No,No,0,3.0,597,3.0,Email Opened,India,Finance Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Other Cities of Maharashtra,No,Yes,Email Opened
642028,48b03ba6-0eb1-45b5-b49e-f5621ee81dd9,API,Olark Chat,No,No,0,0.0,0,0.0,Email Link Clicked,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Modified
642018,880b5fab-1d67-42ce-81c1-d21b3056e043,Landing Page Submission,Google,No,No,0,7.0,8,7.0,SMS Sent,India,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,Yes,Modified
642012,fc5c6276-7d2a-429c-960c-72880f2c1f8b,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Modified
641985,19a808a7-408f-45cd-a3b0-9994120f4d11,Landing Page Submission,Direct Traffic,No,No,0,4.0,360,4.0,Page Visited on Website,India,"Banking, Investment And Insurance",Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Mumbai,No,Yes,Modified
641984,cda023b7-8c9b-4961-a420-2e8c24027731,API,Olark Chat,No,No,0,0.0,0,0.0,Email Opened,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Email Opened
641976,fec60561-899e-43e3-ac2c-bc78e654619a,Landing Page Submission,Google,No,No,0,5.0,271,1.67,SMS Sent,India,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Modified
641959,28157e7a-156d-4f46-8863-80d5d675cfe0,Landing Page Submission,Google,No,No,1,6.0,76,3.0,Email Opened,India,Operations Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Thane & Outskirts,No,No,Email Opened
641958,0036610c-a13a-4719-b0d2-5a1408600dec,Landing Page Submission,Google,No,No,0,2.0,376,2.0,Converted to Lead,India,Finance Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Other Cities of Maharashtra,No,No,Modified
641957,a7f0b21c-ba03-4e8a-8626-ec04f94f2b93,API,Olark Chat,No,No,0,0.0,0,0.0,Email Link Clicked,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Email Link Clicked
641955,8fe6e4c6-3f17-4851-9417-d0374e03601a,Lead Add Form,Reference,No,No,1,2.0,1349,1.0,Olark Chat Conversation,India,Operations Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Might be,No,No,Mumbai,No,Yes,Olark Chat Conversation
641946,05d1b0d6-b253-49ff-897f-6112bdfbbac3,Landing Page Submission,Google,No,No,1,6.0,1116,3.0,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Mumbai,No,No,Email Opened
641940,36249219-6c3f-4e9f-a977-ae2b2cc17bc5,Landing Page Submission,Google,No,No,1,3.0,370,1.5,SMS Sent,India,International Business,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Mumbai,No,No,SMS Sent
641934,aee160e1-3e1e-4564-a32a-ff4c32d7db7f,API,Google,No,No,0,3.0,131,1.0,Email Opened,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Email Opened
641925,339ffc91-990c-4ead-8e96-51867f292e8d,API,Google,No,No,0,2.0,2117,2.0,Olark Chat Conversation,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Modified
641916,ebe5974f-edc4-4586-b504-56048639b799,API,Google,No,No,0,10.0,85,5.0,Email Opened,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Mumbai,No,No,Modified
641909,8b25e565-33bb-4219-8c37-da44daf5b4ce,Landing Page Submission,Direct Traffic,No,No,1,8.0,1190,2.0,Page Visited on Website,India,Supply Chain Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Other Cities,No,Yes,Page Visited on Website
641908,79bdf37f-8263-41b0-8510-9d1b51f0ac6b,Landing Page Submission,Direct Traffic,No,No,0,5.0,287,5.0,SMS Sent,India,Travel and Tourism,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Other Cities,No,Yes,Modified
641907,af45de45-0bd1-49a2-829a-3f9ca941a00b,API,Google,No,No,0,2.0,1303,2.0,Email Opened,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Email Opened
641905,3d6239ad-f532-4d0d-8367-3f46408ea71a,Landing Page Submission,Google,No,No,1,10.0,1026,10.0,SMS Sent,India,Supply Chain Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Mumbai,No,Yes,SMS Sent
641891,8e07776b-a0eb-4d0b-921e-542baafa632d,API,Google,No,No,1,8.0,167,4.0,Email Opened,India,Finance Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Other Metro Cities,No,No,Email Opened
641875,9e0f9320-0a03-44b1-915e-213e0027bd05,Landing Page Submission,Google,No,No,0,3.0,759,3.0,Form Submitted on Website,India,Finance Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Mumbai,No,No,Modified
641870,3e52dfb1-33e1-42ba-86b6-26cab8bddba3,Landing Page Submission,Organic Search,Yes,No,0,5.0,75,5.0,Unsubscribed,India,Business Administration,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Other Cities,No,Yes,Modified
641867,5f5c9a0c-eb69-4704-a70d-9864df7fc25c,Landing Page Submission,Direct Traffic,No,No,0,1.0,210,1.0,Converted to Lead,India,Marketing Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Mumbai,No,Yes,Modified
641858,a24f4b65-8a20-451b-a644-f2cbd2cfed97,API,Olark Chat,No,No,1,0.0,0,0.0,SMS Sent,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,SMS Sent
641857,fb4ffb85-6cf6-4e64-b40a-ca844884b1cb,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Modified
641850,21728e61-e345-4587-a62b-b56c0f98355f,Landing Page Submission,Google,No,No,1,3.0,845,3.0,SMS Sent,India,IT Projects Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Thane & Outskirts,No,No,SMS Sent
641829,9e85441e-b71a-4656-9a52-9ccf4b0d80d5,Landing Page Submission,Google,No,No,1,5.0,1,5.0,SMS Sent,India,Marketing Management,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Thane & Outskirts,No,No,SMS Sent
641827,cab05457-6ecb-4034-b9e4-cd36cf7931db,Landing Page Submission,Google,No,No,0,2.0,1335,2.0,Email Opened,India,"Banking, Investment And Insurance",Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Modified
641826,96cf044c-2431-4bc9-ad10-ea1e4716bb92,Landing Page Submission,Google,No,No,0,2.0,51,2.0,Email Opened,India,Operations Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Mumbai,No,No,Email Opened
641817,0041d12d-224e-4b59-8f04-bb79b7035408,API,Google,No,No,1,2.0,1387,2.0,SMS Sent,India,Marketing Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Mumbai,No,No,Modified
641781,8fe92f1a-1d93-472e-9ab3-91d0d9ac4f62,Landing Page Submission,Direct Traffic,No,No,0,30.0,68,10.0,SMS Sent,India,Finance Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Thane & Outskirts,No,Yes,Modified
641763,43ed8409-e707-4c54-a35b-3a6cfaea7efa,Landing Page Submission,Organic Search,No,No,0,5.0,29,5.0,Email Opened,India,International Business,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Mumbai,No,Yes,Email Opened
641743,4a8d25e6-034c-4a13-8bc4-d4dd1de1a495,Landing Page Submission,Google,No,No,1,2.0,296,2.0,SMS Sent,India,Operations Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Thane & Outskirts,No,No,SMS Sent
641734,53eb261a-c8a8-410b-9110-3025d9ac5d22,Landing Page Submission,Google,No,No,0,6.0,555,6.0,SMS Sent,India,E-COMMERCE,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Mumbai,No,Yes,Modified
641725,efc0e08e-b83f-4e11-94f3-5e3bb6869905,Landing Page Submission,Organic Search,No,No,0,8.0,275,4.0,Email Opened,India,Rural and Agribusiness,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Other Cities of Maharashtra,No,Yes,Email Opened
641715,12141b50-237c-44b0-9a2c-a9ae0403db80,Landing Page Submission,Google,No,No,1,4.0,1033,4.0,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Mumbai,No,No,Modified
641709,ab7109ae-d6c8-4f82-971b-b363d4c9b939,API,Olark Chat,No,No,0,3.0,226,1.5,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Mumbai,No,Yes,Email Opened
641693,055cf2ac-2ed9-4505-9972-a4ce80b8bf89,Landing Page Submission,Direct Traffic,No,No,1,16.0,1522,2.67,Form Submitted on Website,India,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Mumbai,No,Yes,Modified
641684,cb2a224d-79ea-4a66-a150-61ad81abcec9,Landing Page Submission,Organic Search,No,No,0,3.0,161,3.0,Email Opened,India,Travel and Tourism,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,Not Sure,No,No,Other Cities,No,Yes,Email Opened
641673,230d7033-ebc0-48dc-9975-f2a1d045b302,Landing Page Submission,Google,No,No,0,5.0,37,2.5,Form Submitted on Website,India,Finance Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Modified
641668,b84e06ba-8fa3-4087-b54c-c8e34fb5e589,Landing Page Submission,Direct Traffic,No,No,0,3.0,529,3.0,Email Opened,India,Supply Chain Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Other Metro Cities,No,Yes,Modified
641663,7e002798-43de-4c55-9ccb-6c2bebf7a8a7,Landing Page Submission,Direct Traffic,Yes,No,0,1.0,191,1.0,Email Bounced,India,IT Projects Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,Yes,Modified
641652,19d0e9d4-b0e0-4308-ae77-0313251f4f3f,Landing Page Submission,Direct Traffic,No,No,1,3.0,1293,1.5,Email Opened,India,Marketing Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Lost to EINS,Not Sure,No,No,Mumbai,No,Yes,Email Opened
641647,0d7ff86f-8b22-477c-a429-335b2edbb3b4,Landing Page Submission,Google,No,No,0,6.0,213,6.0,Email Opened,India,Marketing Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Mumbai,No,No,Modified
641637,69645f76-e023-47d8-8ebc-528e250cbd30,Landing Page Submission,Google,No,No,0,6.0,125,2.0,Email Opened,India,IT Projects Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Mumbai,No,No,Email Opened
641633,a102f416-85da-440d-ae44-d8f6f4ec8237,API,Olark Chat,No,No,0,0.0,0,0.0,Email Link Clicked,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Mumbai,No,No,Modified
641626,f82ba06c-77de-469f-aa14-daf916e138a5,Landing Page Submission,Direct Traffic,No,No,1,2.0,1328,2.0,SMS Sent,India,Supply Chain Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Other Cities,No,Yes,SMS Sent
641623,0273d7ea-a5fb-4b7f-8c60-d57a846b273d,Landing Page Submission,Google,No,No,0,3.0,284,3.0,Converted to Lead,India,Finance Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Thane & Outskirts,No,No,Modified
641619,c798a92a-117e-4d26-acd3-f8a31897e8bc,API,Organic Search,No,No,0,2.0,84,2.0,Page Visited on Website,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Diploma holder (Not Eligible),Not Sure,No,No,Mumbai,No,No,Modified
641612,e3d7f9af-1593-41e8-9682-c6ddfb9ee1b7,Landing Page Submission,Direct Traffic,No,No,0,2.0,203,2.0,Email Opened,India,"Banking, Investment And Insurance",Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,Yes,Email Opened
641603,b3c94e33-69da-4163-a97e-a4825e233f95,Landing Page Submission,Google,Yes,No,0,2.0,102,2.0,Email Bounced,India,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Email Bounced
641602,ff31e840-8fc7-45d0-a399-59accdb1f7dc,API,Google,No,No,1,3.0,481,3.0,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Mumbai,No,No,Email Opened
641585,1451a32b-16de-482e-825e-8cef8c017064,API,Google,No,No,0,9.0,195,2.25,Unreachable,India,Others,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Mumbai,No,No,Unreachable
641584,8aa2c934-3345-44ec-90b9-536676b8c991,Landing Page Submission,Google,No,No,0,5.0,231,5.0,Email Opened,India,Finance Management,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Mumbai,No,No,Email Opened
641576,263b90ba-5fc2-4422-a917-b323864605e1,Landing Page Submission,Google,No,No,1,10.0,825,5.0,SMS Sent,India,"Banking, Investment And Insurance",Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Mumbai,No,No,SMS Sent
